candidate,tweet_time,tweet_text,tweet_lang
BernieSanders,2016-06-06 00:39:04,It is more important to rebuild the Flint water system and our school system than to give tax breaks to profitable corporations.,en
BernieSanders,2016-06-05 23:25:03,"If you care about clean water in Flint, how can you turn around and support fracking? We need to put an end to fracking across our country.",en
BernieSanders,2016-06-05 21:40:42,"It is time to say enough is enough. It is time to end religious bigotry.
https://t.co/cxfn7DfVG9",en
BernieSanders,2016-06-05 19:26:33,"Puerto Rico — ¡Tu voto es tu voz! Si ya estás en el centro de votación, quédate ahí hasta que puedas votar. #Primarias2016",es
BernieSanders,2016-06-05 18:06:12,Puerto Rico — llegó tu turno de votar por nuestro movimiento. Lleva a tu familia y amigos y asegúrense de votar. https://t.co/JC8lDBAup6,es
BernieSanders,2016-06-05 16:59:59,"Hermanas y hermanos en Puerto Rico: sus voces deben ser escuchadas hoy. Salgan a votar. 
https://t.co/VUbvlQi6l9",es
BernieSanders,2016-06-05 16:33:11,RT @CNNSotu: @BernieSanders says Clinton is wrong on fracking: “She thinks we can ‘regulate’ it… she pushed fracking in other countries...”…,en
BernieSanders,2016-06-05 15:32:06,"When people have something to vote for rather than just against, progressives and Democrats win.
https://t.co/BLFUmhC6Gt",en
BernieSanders,2016-06-05 14:31:07,"While California is in a drought, we are injecting 160K gallons of clean water for every fracked well.
https://t.co/SJGI3cBg5f",en
BernieSanders,2016-06-05 04:20:16,"RT @KThomasDC: More than 13,500 at @BernieSanders rally outside LA Coliseum. https://t.co/fUgWZ6Bjcq",en
BernieSanders,2016-06-05 01:32:49,"""I spent almost half of my life in prison. I was a dreamer. I was 17. My mustache had just grown in."" – Chris Wilson
https://t.co/707qYRhB7R",en
BernieSanders,2016-06-05 00:33:40,"We must do all we can to provide a pathway to citizenship for the 11 million aspiring Americans living in the U.S.
https://t.co/Uj2nz1hskx",en
BernieSanders,2016-06-04 23:53:58,"We must protect children fleeing to the U.S. from violence in Central America, not use them to ""send a message."" https://t.co/8I1LPn5HAZ",en
BernieSanders,2016-06-04 23:51:38,"RT @KThomasDC: .@BernieSanders walking streets of Huntington Park. ""There's an election on Tuesday. We need your help!"" https://t.co/WRfOiR…",en
BernieSanders,2016-06-04 22:54:05,I applaud President Obama on his historic support for expanding Social Security. https://t.co/G4h5QpbG3t,en
BernieSanders,2016-06-04 22:23:51,RT @cspan: .@BernieSanders campaigns in Los Angeles - LIVE at 6pm ET on C-SPAN https://t.co/YOkmnDch1n https://t.co/bUOnetaJhJ,en
BernieSanders,2016-06-04 20:35:14,"RT @clairesandberg: Bernie kicks off canvassing in LA, gives a huge shoutout to the vols who have made over 70 mil calls since Jan! https:/…",en
BernieSanders,2016-06-04 20:27:01,We’re in the final stretch. Today’s the day to make sure you’re taking action: https://t.co/yoHk18FM0n https://t.co/tc64PA4kzX,en
BernieSanders,2016-06-04 18:43:06,"Progressives and Democrats win elections when people are energized, when they are prepared to stand up and fight to transform America.",en
BernieSanders,2016-06-04 18:39:56,RT @cenkuygur: Every vote @BernieSanders gets is vote for the progressive movement and makes that movement stronger.Winning CA would be hug…,en
BernieSanders,2016-06-04 16:30:13,"My plan to expand Social Security would increase benefits by about $1,300 annually for seniors scraping by on less than $16,000 a year.",en
BernieSanders,2016-06-04 14:37:38,"RT @kalpenn: Good luck in Tuesday's California Primary, @BernieSanders! #FeelTheBern 
Volunteer: https://t.co/ZiAzx8N3F9 https://t.co/pmcUx…",en
BernieSanders,2016-06-04 14:28:01,"Our task this weekend is simple: call every single Bernie supporter we can and make sure they have a plan to vote:
https://t.co/WEqHsTQpjz",en
BernieSanders,2016-06-04 12:53:46,"Muhammad Ali was the greatest, not only an extraordinary athlete but a man of great courage and humanity.",en
BernieSanders,2016-06-04 05:39:47,"RT @lacoliseum: Presidential candidate @BernieSanders will speak at the LAMC's Olympic Plaza tomorrow, June 4th.
4 more info visit: https:/…",en
BernieSanders,2016-06-04 02:41:04,"Through an extraordinary grassroots movement we beat back the effort to cut Social Security. 
https://t.co/Y07vOl2wUe",en
BernieSanders,2016-06-04 02:06:48,Bernie going for the full California experience at In-N-Out! https://t.co/2yhzJKFR19,en
BernieSanders,2016-06-04 00:56:02,"Our job is to take on Wall Street, not take their money.",en
BernieSanders,2016-06-03 23:20:06,Join Bernie in San Francisco for a GOTV concert featuring special musical guests. RSVP here: https://t.co/6xBT6nwGbP #SFforBernie,en
BernieSanders,2016-06-03 22:34:04,"Last week marked the one year anniversary of this campaign. Join us for a trip down memory lane.
https://t.co/c610um3vnY",en
BernieSanders,2016-06-03 21:49:21,RT @nbcbayarea: WATCH LIVE: Bernie Sanders to speak at rally in Fairfield https://t.co/S3lIMPsJJj https://t.co/6qOa0VvPJD,en
BernieSanders,2016-06-03 21:38:02,Republicans hate the government – unless you’re a woman. Then they love the government dictating what you can do with your own body.,en
BernieSanders,2016-06-03 19:48:01,"If you're doing everything right but find it harder and harder to get by, you're not alone.
https://t.co/o4MqUQIW5N",en
BernieSanders,2016-06-03 19:12:49,RT @CNNSotu: Sunday on #CNNSOTU: @BernieSanders joins @jaketapper to discuss the state of the race ahead of Tuesday's contests. https://t.c…,en
BernieSanders,2016-06-03 18:19:01,"En una noche cualquiera, casi 565,000 personas no tienen hogar en Estados Unidos. Esa es una vergüenza nacional.",es
BernieSanders,2016-06-03 17:24:04,"We need police forces that reflect the diversity of our communities, including in the training academies and leadership.",en
